Date,Open,Close,High,Low
2024-02-16,241500,252500,253000,235500
2024-02-15,250000,240000,250500,237000
2024-02-14,245000,245500,251000,244500
2024-02-13,251000,249000,261000,247500
2024-02-08,243000,250000,250500,241500
2024-02-07,239000,245000,246500,238000
2024-02-06,234000,235500,240000,230500
2024-02-05,233500,238000,239500,226000
2024-02-02,221500,227000,228000,214000
2024-02-01,193900,208000,209000,193500
2024-01-31,189300,194600,195400,188500
2024-01-30,196000,190000,196600,189300
2024-01-29,187300,195600,197300,186600
2024-01-26,189300,187300,189600,186500
2024-01-25,184400,188700,190500,183500
2024-01-24,185300,185000,185400,182100
2024-01-23,181200,184800,184800,180900
2024-01-22,182300,180100,182400,179800
2024-01-19,183000,181700,183000,180100
2024-01-18,180000,180200,182500,179900
2024-01-17,186300,181800,186400,181000
2024-01-16,186600,186200,188100,185700
2024-01-15,186000,187500,188600,185800
2024-01-12,186600,186000,187400,185800
2024-01-11,187200,187000,189000,187000
2024-01-10,185600,186700,187300,185200
2024-01-09,187800,185600,187800,185500
2024-01-08,187600,185700,188900,185500
2024-01-05,190100,187300,190500,187200
2024-01-04,192000,190000,192800,189100
2024-01-03,199100,193800,199500,193800
2024-01-02,202000,200500,202500,199800
2023-12-28,198800,203500,203500,198400
2023-12-27,198700,198500,199300,197200
2023-12-26,200500,198800,200500,197700
2023-12-22,200000,199000,200500,198500
2023-12-21,197500,198700,202000,197100
2023-12-20,192700,199100,199700,192600
2023-12-19,191900,192200,192900,190800
2023-12-18,192800,192000,193000,190000
2023-12-15,185800,192800,192800,185200
2023-12-14,187000,184800,187100,184200
2023-12-13,185300,185000,186200,184400
2023-12-12,185500,185600,186400,185000
2023-12-11,185400,185400,185400,184000
2023-12-08,183600,185100,185700,183400
2023-12-07,181400,182600,183300,181400
2023-12-06,181100,182900,183400,181100
2023-12-05,181600,181400,182000,180700
2023-12-04,183900,181600,184100,181600
2023-12-01,183300,182800,183800,181700
2023-11-30,184200,184300,184900,182100
2023-11-29,185700,184800,186500,184700
2023-11-28,185900,185700,185900,183600
2023-11-27,184000,184900,185700,184000
2023-11-24,184600,184000,185600,183900
2023-11-23,183600,184800,185000,182400
