Date,Open,High,Low,Close,Adj Close,Volume,3MA,5MA
2001-11-12,4010,4050,3930,4000,3026.81958,23500000,2956.193766,2925.421045
2001-11-13,3920,4000,3900,4000,3026.81958,30010000,2991.506673,2955.689258
2001-11-14,4100,4300,4060,4300,3253.832031,75030000,3102.490397,3029.846582
2001-11-15,4210,4290,4150,4190,3170.593994,36275000,3150.415202,3079.789209
2001-11-16,4160,4190,4070,4180,3163.026611,35795000,3195.817545,3128.218359
2001-11-19,4100,4400,4100,4370,3306.80127,39315000,3213.473958,3184.214697
2001-11-20,4400,4460,4270,4270,3231.130615,37695000,3233.652832,3225.076904
2001-11-21,4160,4300,4150,4220,3193.294922,33430000,3243.742269,3212.969482
2001-11-22,4230,4320,4160,4320,3268.96582,17595000,3231.130452,3232.643848
2001-11-23,4340,4450,4300,4440,3359.769531,27370000,3274.010091,3271.992432
2001-11-26,4470,4620,4470,4600,3480.842773,37990000,3369.859375,3306.800732
2001-11-27,4640,4660,4570,4620,3495.977295,41960000,3445.529866,3359.770068
2001-11-28,4540,4600,4350,4380,3314.367432,29700000,3430.395833,3383.98457
2001-11-29,4290,4490,4170,4200,3178.161133,53265000,3329.501953,3365.823633
2001-11-30,4460,4460,4330,4360,3299.233643,31230000,3263.920736,3353.716455
2001-12-03,4430,4500,4290,4490,3397.605225,32860000,3291.666667,3337.068946
2001-12-04,4530,4610,4440,4600,3480.842773,32740000,3392.560547,3334.042041
2001-12-05,4760,5290,4740,5290,4002.968506,115130000,3627.138835,3471.762256
2001-12-06,5560,5860,5350,5500,4161.87793,114630000,3881.896403,3668.505615
2001-12-07,5400,5730,5330,5670,4290.517578,58705000,4151.788005,3866.762402
2001-12-10,5580,5580,5170,5200,3934.867188,65280000,4129.087565,3974.214795
2001-12-11,5040,5190,4970,5170,3912.165039,52625000,4045.849935,4060.479248
2001-12-12,5160,5420,5030,5400,4086.206787,53895000,3977.746338,4077.126904
2001-12-13,5400,5430,5220,5300,4010.536865,63765000,4002.969564,4046.858691
2001-12-14,5110,5230,5090,5100,3859.195313,46510000,3985.312988,3960.594238
2001-12-17,5010,5150,4920,5010,3791.091553,41255000,3886.941244,3931.839111
2001-12-18,5080,5390,5080,5210,3942.431885,56725000,3864.239584,3937.892481
2001-12-19,5310,5350,5250,5280,3995.401855,30870000,3909.641764,3919.731494
2001-12-20,5200,5410,5110,5300,4010.536865,32435000,3982.790202,3919.731494
